% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
5,912,38,5,5,182.4,7.6,182.4,7.6,1,2,107,2147146383.78,-186435313.672,valid
2,1674,10,2,2,837.0,5.0,837.0,5.0,0,1,404,4086026839.76,-46686210.9348,valid
5,327,50,5,5,65.4,10.0,65.4,10.0,1,2,698,680219117.889,-245299239.473,valid
1,239,2,1,1,239.0,2.0,239.0,2.0,0,1,306,581964159.994,-9476832.13968,valid
1,912,2,1,1,912.0,2.0,912.0,2.0,0,1,306,2234545930.78,-8496161.0294,valid
2,78,5,2,2,39.0,2.5,39.0,2.5,0,2,499,179254783.837,-24452577.5073,valid
6,392,218,6,6,65.3333333333,36.3333333333,65.3333333333,36.3333333333,1,2,548,427414356.707,-1070984291.12,valid
2,203,18,2,2,101.5,9.0,101.5,9.0,0,1,697,454275822.052,-88169570.3915,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,339,2,1,1,339.0,2.0,339.0,2.0,0,1,23,827740493.51,-9555584.47115,valid
1,243,2,1,1,243.0,2.0,243.0,2.0,0,1,404,591786341.159,-9471004.7556,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,664,4,2,2,332.0,2.0,332.0,2.0,0,2,404,1620666534.71,-18689569.7295,valid
4,927,30,4,4,231.75,7.5,231.75,7.5,0,2,499,2202623809.6,-146031708.405,bugged
12,2074,331,12,12,172.833333333,27.5833333333,172.833333333,27.5833333333,2,4,722,4280143290.06,-1623415379.71,bugged
2,215,114,2,2,107.5,57.0,107.5,57.0,0,1,95,247981845.214,-559767996.385,valid
1,363,2,1,1,363.0,2.0,363.0,2.0,0,1,404,886451739.247,-9296145.74449,valid
2,23,23,2,2,11.5,11.5,11.5,11.5,0,1,542,0.0,-113009200.122,valid
2,211,6,2,2,105.5,3.0,105.5,3.0,0,2,494,503635513.168,-29431349.5526,valid
1,147,2,1,1,147.0,2.0,147.0,2.0,0,1,3,356204006.688,-9765013.45319,valid
1,167,2,1,1,167.0,2.0,167.0,2.0,0,1,306,405164921.515,-9581747.91968,valid
3,341,114,3,3,113.666666667,38.0,113.666666667,38.0,0,1,83,557408341.278,-559541292.33,valid
2,182,5,2,2,91.0,2.5,91.0,2.5,0,2,499,434631462.179,-24301033.031,valid
4,1086,1029,4,4,271.5,257.25,271.5,257.25,0,2,177,140034123.28,-5056127034.12,valid
1,375,2,1,1,375.0,2.0,375.0,2.0,0,1,1,916316080.231,-9680726.98354,valid
2,150,5,2,2,75.0,2.5,75.0,2.5,0,2,303,356054109.736,-24347751.5489,valid
6,777,456,6,6,129.5,76.0,129.5,76.0,1,2,722,788323779.85,-2239539255.08,valid
1,562,2,1,1,562.0,2.0,562.0,2.0,0,1,306,1375105188.17,-9006168.29329,valid
2,171,6,2,2,85.5,3.0,85.5,3.0,0,1,697,405164922.37,-29235989.987,valid
3,175,18,3,3,58.3333333333,6.0,58.3333333333,6.0,0,1,719,385517742.99,-88186365.8871,valid
29,3111,1518,29,29,107.275862069,52.3448275862,107.275862069,52.3448275862,2,3,746,3911727936.21,-7453992824.99,valid
1,517,2,1,1,517.0,2.0,517.0,2.0,0,1,306,1264605664.12,-9071740.65579,valid
5,1460,75,5,5,292.0,15.0,292.0,15.0,1,2,720,3401055069.97,-366565828.099,valid
3,367,60,3,3,122.333333333,20.0,122.333333333,20.0,0,1,176,754224130.012,-294732323.022,valid
1,283,2,1,1,283.0,2.0,283.0,2.0,0,1,306,690008139.065,-9412716.94079,valid
17,1540,600,17,17,90.5882352941,35.2941176471,90.5882352941,35.2941176471,0,3,700,2308616851.25,-2946452919.93,valid
3,181,30,3,3,60.3333333333,10.0,60.3333333333,10.0,0,1,83,370788621.012,-147115402.488,valid
1,251,2,1,1,251.0,2.0,251.0,2.0,0,1,404,611430701.032,-9459347.48819,valid
2,55,55,2,2,27.5,27.5,27.5,27.5,0,1,542,0.0,-270243129.65,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,295,2,1,1,295.0,2.0,295.0,2.0,0,1,83,719474679.832,-9395232.01214,valid
3,68,60,3,3,22.6666666667,20.0,22.6666666667,20.0,0,1,543,19653618.7244,-294807287.79,bugged
2,183,22,2,2,91.5,11.0,91.5,11.0,0,1,697,395342742.434,-107858783.385,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,175,18,3,3,58.3333333333,6.0,58.3333333333,6.0,0,1,719,385517742.99,-88186365.8871,valid
1,127,2,1,1,127.0,2.0,127.0,2.0,0,1,4,307004754.799,-9703639.14141,valid
1,359,2,1,1,359.0,2.0,359.0,2.0,0,1,306,876629557.459,-9301972.50634,valid
1,2202,2,1,1,2202.0,2.0,2202.0,2.0,0,1,20,5404557563.68,-8979318.49898,valid
2,259,34,2,2,129.5,17.0,129.5,17.0,0,1,491,552696779.987,-166930947.988,valid
17,934,580,17,17,54.9411764706,34.1176470588,54.9411764706,34.1176470588,3,3,499,869250165.036,-2848367507.57,valid
4,179,26,4,4,44.75,6.5,44.75,6.5,0,1,719,375695563.054,-127488533.682,valid
5,592,124,5,5,118.4,24.8,118.4,24.8,1,3,720,1149195134.22,-608573483.68,valid
2,78,5,2,2,39.0,2.5,39.0,2.5,0,2,499,179254783.837,-24452577.5073,valid
1,175,2,1,1,175.0,2.0,175.0,2.0,0,1,11,424996841.396,-9761987.30978,valid
1,462,2,1,1,462.0,2.0,462.0,2.0,0,1,306,1129550690.28,-9151884.6544,valid
1,247,2,1,1,247.0,2.0,247.0,2.0,0,1,306,601608519.825,-9465174.83079,valid
6,426,49,6,6,71.0,8.16666666667,71.0,8.16666666667,0,2,644,925740685.314,-240143358.144,valid
1,115,2,1,1,115.0,2.0,115.0,2.0,0,1,83,277476583.007,-9657520.83506,valid
1,179,2,1,1,179.0,2.0,179.0,2.0,0,1,306,434631461.261,-9564261.95634,valid
3,130,9,3,3,43.3333333333,3.0,43.3333333333,3.0,0,2,720,297120943.072,-44036875.0938,valid
4,174,21,4,4,43.5,5.25,43.5,5.25,0,2,720,375698382.562,-102938520.514,valid
1,397,2,1,1,397.0,2.0,397.0,2.0,0,1,23,970200281.711,-9509248.40742,valid
2,5377,6,2,2,2688.5,3.0,2688.5,3.0,0,1,494,13194490306.6,-27412508.7757,valid
