% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE tot_changes_bugged_Methods NUMERIC
@ATTRIBUTE sum_insert_bugged_Methods NUMERIC
@ATTRIBUTE sum_delet_buggeds_Methods NUMERIC
@ATTRIBUTE count_insert_bugged_Methods NUMERIC
@ATTRIBUTE count_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,3,0,1,0,3.0,0.0,3.0,0,0,1,44.2806250001,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,34.1845370373,34.1845370373,34.1845370373,1,6,0,1,0,6.0,0.0,6.0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,44.2806250001,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,84.1079282407,84.1079282407,84.1079282407,1,3,0,1,0,3.0,0.0,3.0,0,valid
4,8,4,3,3,2.0,1.0,2.66666666667,1.33333333333,0,2,22.5499305557,0,0,0,0,0,0,0,0,0,0,0,valid
1,17,0,1,0,17.0,0.0,17.0,0,0,1,23.2717824075,0,0,0,0,0,0,0,0,0,0,0,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,31.3829629631,0,0,0,0,0,0,0,0,0,0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,50.2871296299,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
7,334,282,7,6,47.7142857143,40.2857142857,47.7142857143,47.0,0,3,22.4602083336,0,0,0,0,0,0,0,0,0,0,0,valid
6,84,60,5,5,14.0,10.0,16.8,12.0,0,2,20.533865741,0,0,0,0,0,0,0,0,0,0,0,valid
9,31,14,9,5,3.44444444444,1.55555555556,3.44444444444,2.8,1,3,28.034710648,34.1845370373,34.1845370373,1,1,0,1,0,1.0,0.0,1.0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,30.4463888891,0,0,0,0,0,0,0,0,0,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,41.3841203703,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,44.2806250001,44.2806250001,44.2806250001,1,13,0,1,0,13.0,0.0,13.0,0,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,0,1,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,76.4228587965,0,0,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,44.2806250001,0,0,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,55.3188310186,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,84.1079282407,84.1079282407,84.1079282407,1,3,0,1,0,3.0,0.0,3.0,0,valid
2,9,9,1,1,4.5,4.5,9.0,9.0,0,1,22.4602083336,0,0,0,0,0,0,0,0,0,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
4,65,16,4,3,16.25,4.0,16.25,5.33333333333,0,2,23.2717824075,0,0,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
3,171,193,2,2,57.0,64.3333333333,85.5,96.5,0,3,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
3,218,244,2,2,72.6666666667,81.3333333333,109.0,122.0,0,3,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
3,200,225,2,2,66.6666666667,75.0,100.0,112.5,0,3,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
3,329,342,2,2,109.666666667,114.0,164.5,171.0,0,3,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
