% []
@RELATION base

@ATTRIBUTE tot_changes_bugged NUMERIC
@ATTRIBUTE sum_insert_bugged NUMERIC
@ATTRIBUTE sum_delet_buggeds NUMERIC
@ATTRIBUTE count_insert_bugged NUMERIC
@ATTRIBUTE count_delets_bugged NUMERIC
@ATTRIBUTE avg_insert_bugged NUMERIC
@ATTRIBUTE avg_delets_bugged NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
2,28,12,2,2,14.0,6.0,14.0,6.0,valid
1,143,27,1,1,143.0,27.0,143.0,27.0,valid
1,40,12,1,1,40.0,12.0,40.0,12.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
3,193,139,3,3,64.3333333333,46.3333333333,64.3333333333,46.3333333333,bugged
0,0,0,0,0,0,0,0,0,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,valid
0,0,0,0,0,0,0,0,0,valid
1,103,2,1,1,103.0,2.0,103.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
2,227,4,2,2,113.5,2.0,113.5,2.0,valid
0,0,0,0,0,0,0,0,0,valid
1,24,24,1,1,24.0,24.0,24.0,24.0,valid
1,367,2,1,1,367.0,2.0,367.0,2.0,valid
5,89,36,5,5,17.8,7.2,17.8,7.2,valid
0,0,0,0,0,0,0,0,0,valid
1,91,2,1,1,91.0,2.0,91.0,2.0,valid
1,124,24,1,1,124.0,24.0,124.0,24.0,valid
3,219,118,3,3,73.0,39.3333333333,73.0,39.3333333333,valid
2,199,22,2,2,99.5,11.0,99.5,11.0,valid
3,100,88,3,3,33.3333333333,29.3333333333,33.3333333333,29.3333333333,valid
2,281,62,2,2,140.5,31.0,140.5,31.0,valid
1,16,16,1,1,16.0,16.0,16.0,16.0,valid
0,0,0,0,0,0,0,0,0,valid
16,640,138,16,16,40.0,8.625,40.0,8.625,bugged
3,44,8,3,3,14.6666666667,2.66666666667,14.6666666667,2.66666666667,valid
2,395,10,2,2,197.5,5.0,197.5,5.0,valid
0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,bugged
1,432,2,1,1,432.0,2.0,432.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
5,166,358,5,5,33.2,71.6,33.2,71.6,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,8,24,1,1,8.0,24.0,8.0,24.0,valid
0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,valid
15,851,818,15,15,56.7333333333,54.5333333333,56.7333333333,54.5333333333,bugged
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
2,12,12,2,2,6.0,6.0,6.0,6.0,valid
1,107,2,1,1,107.0,2.0,107.0,2.0,valid
3,174,83,3,3,58.0,27.6666666667,58.0,27.6666666667,valid
1,119,2,1,1,119.0,2.0,119.0,2.0,valid
