% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,572,2,1,1,572.0,2.0,572.0,2.0,0,1,4.06728009274,0,0,valid
1,203,2,1,1,203.0,2.0,203.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,263,14,2,2,131.5,7.0,131.5,7.0,0,2,88.0578009258,0,0,valid
3,3599,190,3,3,1199.66666667,63.3333333333,1199.66666667,63.3333333333,0,2,15.4067013888,0,0,bugged
1,383,2,1,1,383.0,2.0,383.0,2.0,0,1,4.06728009274,4.06728009274,4.06728009274,valid
1,207,2,1,1,207.0,2.0,207.0,2.0,0,1,246.814467593,0,0,valid
2,203,6,2,2,101.5,3.0,101.5,3.0,0,2,88.0578009258,0,0,valid
6,501,98,6,6,83.5,16.3333333333,83.5,16.3333333333,2,2,15.4067013888,37.2052430557,37.2052430557,bugged
1,2327,2,1,1,2327.0,2.0,2327.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
3,2084,60,3,3,694.666666667,20.0,694.666666667,20.0,0,2,15.4067013888,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,211,8,3,3,70.3333333333,2.66666666667,70.3333333333,2.66666666667,0,3,14.4056250001,0,0,bugged
2,391,10,2,2,195.5,5.0,195.5,5.0,0,2,15.4067013888,0,0,valid
2,295,10,2,2,147.5,5.0,147.5,5.0,0,2,88.0578009258,0,0,valid
1,582,2,1,1,582.0,2.0,582.0,2.0,0,1,246.814467593,0,0,valid
6,426,193,6,6,71.0,32.1666666667,71.0,32.1666666667,1,3,2.87971064821,45.4301504628,45.4301504628,bugged
2,199,6,2,2,99.5,3.0,99.5,3.0,0,2,88.0578009258,0,0,valid
5,320,3625,5,5,64.0,725.0,64.0,725.0,1,2,15.4067013888,45.4301504628,45.4301504628,valid
2,1007,87,2,2,503.5,43.5,503.5,43.5,0,2,88.0578009258,0,0,valid
3,1738,49,3,3,579.333333333,16.3333333333,579.333333333,16.3333333333,0,2,15.4067013888,0,0,valid
2,251,6,2,2,125.5,3.0,125.5,3.0,0,2,88.0578009258,0,0,bugged
3,703,19,3,3,234.333333333,6.33333333333,234.333333333,6.33333333333,0,2,15.4067013888,0,0,valid
3,596,202,3,3,198.666666667,67.3333333333,198.666666667,67.3333333333,0,2,15.4067013888,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
2,649,14,2,2,324.5,7.0,324.5,7.0,0,2,88.0578009258,0,0,valid
2,251,6,2,2,125.5,3.0,125.5,3.0,0,2,88.0578009258,0,0,valid
2,131,14,2,2,65.5,7.0,65.5,7.0,0,2,15.4067013888,0,0,bugged
