% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45556,-14708432.0452,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,626,7357121.4613,-4898942.76539,valid
5,32,17,4,3,6.4,3.4,8.0,5.66666666667,1,2,1288.4737037,1609.43553241,1609.43553241,5,32,17,4,3,6.4,3.4,8.0,5.66666666667,1,2,85,36790539.2191,-83377751.2547,valid
1,27,0,1,0,27.0,0.0,27.0,0,0,1,871.6746875,0,0,1,27,0,1,0,27.0,0.0,27.0,0,0,1,17,66242855.8316,23535.2165625,valid
2,14,7,2,1,7.0,3.5,7.0,7.0,0,2,1245.76047454,0,0,2,14,7,2,1,7.0,3.5,7.0,7.0,0,2,126,17169209.1354,-34331943.9457,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,626,7357121.46341,-4898942.76751,valid
2,12,6,2,1,6.0,3.0,6.0,6.0,0,1,1933.9581713,0,0,2,12,6,2,1,6.0,3.0,6.0,6.0,0,1,626,14714206.9111,-29416864.0904,valid
3,30,0,3,0,10.0,0.0,10.0,0,0,1,832.375949074,0,0,3,30,0,3,0,10.0,0.0,10.0,0,0,1,2,73604316.0185,25007.368287,valid
3,20,10,3,2,6.66666666667,3.33333333333,6.66666666667,5.0,0,2,1542.43472222,0,0,3,20,10,3,2,6.66666666667,3.33333333333,6.66666666667,5.0,0,2,637,24524479.2548,-49030473.9807,valid
2,16,8,2,1,8.0,4.0,8.0,8.0,0,1,1933.9581713,0,0,2,16,8,2,1,8.0,4.0,8.0,8.0,0,1,626,19618942.5513,-39222485.457,valid
2,8,6,2,2,4.0,3.0,4.0,3.0,0,1,258.200231481,0,0,2,8,6,2,2,4.0,3.0,4.0,3.0,0,1,4,4908097.62519,-29448104.5069,valid
5,30,17,5,4,6.0,3.4,6.0,4.25,1,2,555.13912037,1432.91571759,1432.91571759,5,30,17,5,4,6.0,3.4,6.0,4.25,1,2,628,31881801.7314,-83367491.4926,valid
1,132,0,1,0,132.0,0.0,132.0,0,0,1,1038.64622685,0,0,1,132,0,1,0,132.0,0.0,132.0,0,0,1,33,323831921.6,137101.301944,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,626,7357121.46341,-4898942.76751,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,938.058842592,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,80,7360118.16215,2814.17652778,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.4642,-14708432.0539,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1933.9581713,0,0,2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,626,9809471.27407,-19611242.7269,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,235.170555555,0,0,1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,23,0.0,-4908151.21801,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1034.68140046,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,83,7359828.29448,3104.04420139,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,1,333.271782407,336.647731481,336.647731481,2,6,3,2,1,3.0,1.5,3.0,3.0,1,1,37,7361922.39549,-14722855.1035,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,1059.4987037,0,0,1,13,0,1,0,13.0,0.0,13.0,0,0,1,42,31892266.6511,13773.4831482,valid
3,20,10,3,2,6.66666666667,3.33333333333,6.66666666667,5.0,1,2,1432.91571759,1432.91571759,1432.91571759,3,20,10,3,2,6.66666666667,3.33333333333,6.66666666667,5.0,1,2,626,24524698.2855,-49031131.0875,valid
2,16,8,2,1,8.0,4.0,8.0,8.0,0,2,1245.76047454,0,0,2,16,8,2,1,8.0,4.0,8.0,8.0,0,2,126,19621953.2976,-39236507.3665,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1059.4987037,0,0,1,5,0,1,0,5.0,0.0,5.0,0,0,1,42,12266256.4043,5297.49351852,valid
2,21,8,2,1,10.5,4.0,10.5,8.0,0,1,1933.9581713,0,0,2,21,8,2,1,10.5,4.0,10.5,8.0,0,1,626,31880808.6411,-39212797.6491,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1933.9581713,0,0,2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,626,9809471.27407,-19611242.7269,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45309,-14708432.0427,valid
1,32,0,1,0,32.0,0.0,32.0,0,0,1,1059.4987037,0,0,1,32,0,1,0,32.0,0.0,32.0,0,0,1,42,78504040.9874,33903.9585185,valid
2,15,1,2,1,7.5,0.5,7.5,1.0,0,1,259.445983796,0,0,2,15,1,2,1,7.5,0.5,7.5,1.0,0,1,4,34356718.5325,-4904470.28581,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1566.61736111,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,120,7358232.4866,4699.85208333,valid
3,20,10,3,2,6.66666666667,3.33333333333,6.66666666667,5.0,0,2,1542.43472222,0,0,3,20,10,3,2,6.66666666667,3.33333333333,6.66666666667,5.0,0,2,637,24524479.2548,-49030473.9807,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45917,-14708432.0488,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,841.375162037,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,13,7360408.21319,2524.12548611,valid
3,9,2,3,2,3.0,0.666666666667,3.0,1.0,0,2,1193.175,0,0,3,9,2,3,2,3.0,0.666666666667,3.0,1.0,0,2,56,17171746.7082,-9804021.77491,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,626,7357121.46169,-4898942.76579,valid
2,18,9,2,1,9.0,4.5,9.0,9.0,0,1,1933.9581713,0,0,2,18,9,2,1,9.0,4.5,9.0,9.0,0,1,626,22071310.3898,-44125296.1587,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,626,7357121.4613,-4898942.76539,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45674,-14708432.0464,valid
2,9,0,2,0,4.5,0.0,4.5,0,0,1,903.657175926,0,0,2,9,0,2,0,4.5,0.0,4.5,0,0,1,80,22080388.8881,8408.12791666,valid
