% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,255,2,1,1,255.0,2.0,255.0,2.0,0,1,58,620744744.904,-9431947.31627,valid
23,3801,1236,23,23,165.260869565,53.7391304348,165.260869565,53.7391304348,1,2,185,6294638833.01,-6063935029.94,valid
12,679,380,12,12,56.5833333333,31.6666666667,56.5833333333,31.6666666667,0,2,155,733758986.041,-1864772334.07,valid
9,693,1257,9,9,77.0,139.666666667,77.0,139.666666667,1,2,158,-1384080635.96,-6170032337.33,valid
1,772,2,1,1,772.0,2.0,772.0,2.0,0,1,58,1889223136.66,-8650932.27861,valid
3,26,38,3,3,8.66666666667,12.6666666667,8.66666666667,12.6666666667,0,2,132,-29448449.2125,-186520236.398,valid
2,346,280,2,2,173.0,140.0,173.0,140.0,0,1,41,161937911.823,-1373923131.23,valid
1,437,2,1,1,437.0,2.0,437.0,2.0,0,1,58,1067288395.39,-9157005.85234,valid
1,263,2,1,1,263.0,2.0,263.0,2.0,0,1,63,640329536.713,-9375694.78299,valid
5,629,84,5,5,125.8,16.8,125.8,16.8,0,3,157,1337358473.28,-411636347.131,valid
4,1003,57,4,4,250.75,14.25,250.75,14.25,0,2,131,2320915418.02,-278199960.12,valid
2,734,4,2,2,367.0,2.0,367.0,2.0,0,2,41,1791142620.64,-18587402.472,valid
1,28,20,1,1,28.0,20.0,28.0,20.0,0,1,21,19632331.4175,-98153610.8369,valid
2,131,6,2,2,65.5,3.0,65.5,3.0,0,2,64,306671234.058,-29230936.6045,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,22,0.0,-19632322.7881,valid
3,122,115,3,3,40.6666666667,38.3333333333,40.6666666667,38.3333333333,0,2,153,17178375.0845,-564422780.596,valid
2,270,5,2,2,135.0,2.5,135.0,2.5,0,2,64,650143016.203,-24089328.5287,valid
4,261,10,4,4,65.25,2.5,65.25,2.5,0,2,133,615966401.116,-48830687.5246,valid
2,184,90,2,2,92.0,45.0,92.0,45.0,1,2,9,230688161.548,-441654087.876,valid
2,24,32,2,2,12.0,16.0,12.0,16.0,0,1,55,-19628527.188,-157040067.559,valid
2,100,96,2,2,50.0,48.0,50.0,48.0,0,2,47,9815417.80389,-471123740.75,valid
2,14,11,2,2,7.0,5.5,7.0,5.5,1,2,1,7361832.38698,-53983147.6114,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,34,0.0,-19628527.0465,valid
5,861,438,5,5,172.2,87.6,172.2,87.6,0,2,49,1038052824.87,-2149296683.17,valid
3,229,6,3,3,76.3333333333,2.0,76.3333333333,2.0,0,2,138,547251939.815,-29225079.2915,valid
1,1152,2,1,1,1152.0,2.0,1152.0,2.0,0,1,58,2821567022.29,-8076878.67259,valid
5,86,61,5,5,17.2,12.2,17.2,12.2,0,2,155,61351247.8968,-299369149.725,valid
4,1192,57,4,4,298.0,14.25,298.0,14.25,0,2,131,2784608408.38,-277889028.074,valid
2,406,4,2,2,203.0,2.0,203.0,2.0,0,1,3,986541549.635,-19245239.4895,valid
5,872,91,5,5,174.4,18.2,174.4,18.2,0,3,157,1916466469.92,-445709785.921,valid
1,375,2,1,1,375.0,2.0,375.0,2.0,0,1,63,915106962.43,-9187833.14632,valid
7,274,93,7,7,39.1428571429,13.2857142857,39.1428571429,13.2857142857,0,2,155,444181719.704,-456270265.462,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,34,0.0,-19628527.0465,valid
4,382,57,4,4,95.5,14.25,95.5,14.25,0,2,131,797367013.757,-279235872.345,valid
3,79,70,3,3,26.3333333333,23.3333333333,26.3333333333,23.3333333333,0,2,61,22085844.2687,-343504071.532,valid
3,86,71,3,3,28.6666666667,23.6666666667,28.6666666667,23.6666666667,0,2,153,36810708.4345,-348459069.428,valid
1,71,99,1,1,71.0,99.0,71.0,99.0,0,1,30,-68703775.991,-485871390.355,valid
% 
% 
% 
