% []
@RELATION base

@ATTRIBUTE NCSS NUMERIC
@ATTRIBUTE FileLen NUMERIC
@ATTRIBUTE sum_ifs NUMERIC
@ATTRIBUTE len_mccab NUMERIC
@ATTRIBUTE sum_mccab NUMERIC
@ATTRIBUTE mean_mccab NUMERIC
@ATTRIBUTE var_mccab NUMERIC
@ATTRIBUTE max_mccab NUMERIC
@ATTRIBUTE sum_fanOut NUMERIC
@ATTRIBUTE mean_fanOut NUMERIC
@ATTRIBUTE median_fanOut NUMERIC
@ATTRIBUTE max_fanOut NUMERIC
@ATTRIBUTE min_fanOut NUMERIC
@ATTRIBUTE len_NPath NUMERIC
@ATTRIBUTE sum_NPath NUMERIC
@ATTRIBUTE mean_NPath NUMERIC
@ATTRIBUTE var_NPath NUMERIC
@ATTRIBUTE max_NPath NUMERIC
@ATTRIBUTE len_JavaNCSSmet NUMERIC
@ATTRIBUTE sum_JavaNCSSmet NUMERIC
@ATTRIBUTE mean_JavaNCSSmet NUMERIC
@ATTRIBUTE var_JavaNCSSmet NUMERIC
@ATTRIBUTE max_JavaNCSSmet NUMERIC
@ATTRIBUTE sum_coupl NUMERIC
@ATTRIBUTE mean_coupl NUMERIC
@ATTRIBUTE median_coupl NUMERIC
@ATTRIBUTE max_coupl NUMERIC
@ATTRIBUTE min_coupl NUMERIC
@ATTRIBUTE len_executables NUMERIC
@ATTRIBUTE sum_executables NUMERIC
@ATTRIBUTE var_executables NUMERIC
@ATTRIBUTE max_executables NUMERIC
@ATTRIBUTE len_lens NUMERIC
@ATTRIBUTE sum_lens NUMERIC
@ATTRIBUTE var_lens NUMERIC
@ATTRIBUTE max_lens NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
49,118,0.0,3.0,5.0,1.66666666667,0.888888888889,3.0,9.0,9.0,9.0,9.0,9.0,3.0,6.0,2.0,2.0,4.0,3.0,20.0,6.66666666667,20.2222222222,13.0,1.0,1.0,1.0,1.0,1.0,3.0,16.0,16.2222222222,11.0,3.0,40.0,156.222222222,31.0,valid
12,47,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,6.0,3.0,1.0,4.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,4.0,1.0,3.0,2.0,8.0,1.0,5.0,valid
65,128,0.0,4.0,9.0,2.25,1.6875,4.0,10.0,10.0,10.0,10.0,10.0,4.0,9.0,2.25,1.6875,4.0,4.0,46.0,11.5,113.25,29.0,6.0,6.0,6.0,6.0,6.0,4.0,36.0,67.5,22.0,4.0,79.0,419.6875,54.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
69,137,0.0,6.0,17.0,2.83333333333,1.80555555556,4.0,11.0,11.0,11.0,11.0,11.0,6.0,25.0,4.16666666667,7.13888888889,8.0,6.0,61.0,10.1666666667,56.4722222222,25.0,4.0,4.0,4.0,4.0,4.0,6.0,35.0,11.8055555556,11.0,6.0,106.0,186.222222222,46.0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
29,76,0.0,6.0,6.0,1.0,0.0,1.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,1.0,0.0,1.0,6.0,17.0,2.83333333333,0.805555555556,4.0,5.0,5.0,5.0,5.0,5.0,6.0,11.0,0.805555555556,3.0,6.0,27.0,3.25,7.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
10,75,0.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,0.0,-999.0,1.0,-999.0,0.0,-999.0,bugged
159,306,1.0,23.0,44.0,1.91304347826,2.86200378072,8.0,38.0,6.33333333333,5.5,11.0,3.0,23.0,105.0,4.5652173913,162.854442344,64.0,23.0,128.0,5.5652173913,52.854442344,35.0,14.0,3.5,3.5,6.0,1.0,19.0,92.0,37.08033241,27.0,20.0,209.0,190.6475,62.0,valid
141,257,1.0,10.0,28.0,2.8,2.96,6.0,16.0,8.0,8.0,15.0,1.0,10.0,59.0,5.9,79.69,32.0,10.0,94.0,9.4,79.04,32.0,10.0,10.0,10.0,10.0,10.0,9.0,77.0,74.2469135802,30.0,10.0,149.0,221.29,52.0,valid
29,79,0.0,4.0,7.0,1.75,0.6875,3.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,1.5,0.25,2.0,4.0,31.0,7.75,11.1875,12.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,1.1875,4.0,4.0,74.0,130.25,33.0,valid
